seq,recv_ts_ns,send_ts_ns
228,100282648088250,100282648062791
229,100282648320416,100282648276916
230,100282648516291,100282648489625
231,100282648717791,100282648694916
232,100282648933583,100282648908333
233,100282649148083,100282649122333
234,100282649364291,100282649338375
235,100282649571458,100282649545125
236,100282649781416,100282649755625
237,100282649997125,100282649969708
238,100282650198125,100282650170583
239,100282650411125,100282650384333
240,100282650621041,100282650594958
241,100282650830375,100282650805125
242,100282651039041,100282651016291
243,100282651253791,100282651230916
244,100282651462833,100282651439708
245,100282651670583,100282651642583
246,100282651919583,100282651890500
247,100282652161666,100282652114791
248,100282652348833,100282652320333
249,100282652546791,100282652522958
250,100282652756833,100282652733625
251,100282652975958,100282652949666
252,100282653187833,100282653164291
253,100282653398583,100282653371208
254,100282653599166,100282653575041
255,100282653813750,100282653789583
256,100282654026000,100282654001708
257,100282654239791,100282654216791
258,100282654453083,100282654426916
259,100282654655625,100282654629625
260,100282654853291,100282654829958
261,100282655067833,100282655040250
262,100282655280875,100282655247125
263,100282655520000,100282655454541
264,100282655693458,100282655661875
265,100282655914250,100282655868916
266,100282656114083,100282656077791
267,100282656311750,100282656283541
268,100282656523041,100282656497583
269,100282656729791,100282656701833
270,100282656926500,100282656903000
271,100282657141625,100282657113708
272,100282657369583,100282657329625
273,100282657568625,100282657543041
274,100282657769875,100282657743833
275,100282657974041,100282657947000
276,100282658190083,100282658163916
277,100282658406583,100282658379000
278,100282658612166,100282658588791
279,100282658819541,100282658792958
280,100282659030666,100282659007041
281,100282659250916,100282659222958
282,100282659458750,100282659431250
283,100282659670083,100282659644708
284,100282659887000,100282659859708
285,100282660103000,100282660073625
286,100282660307916,100282660281625
287,100282660526500,100282660497666
288,100282660728458,100282660700250
289,100282660933458,100282660902166
290,100282661136666,100282661104291
291,100282661352291,100282661320291
292,100282661568375,100282661535041
293,100282661774625,100282661740666
294,100282661971916,100282661947041
295,100282662187416,100282662161791
296,100282662389291,100282662363625
297,100282662599500,100282662576333
298,100282662815250,100282662791750
299,100282663023916,100282663001583
300,100282663237583,100282663215000
301,100282663449208,100282663426875
302,100282663659750,100282663633625
303,100282663867666,100282663841666
304,100282664076791,100282664052291
305,100282664289750,100282664266916
306,100282664504375,100282664481583
307,100282664717666,100282664693583
308,100282664926916,100282664901625
309,100282665127875,100282665103291
310,100282665331083,100282665304375
311,100282665544291,100282665520500
312,100282665759833,100282665735125
313,100282665968875,100282665945583
314,100282666185541,100282666160416
315,100282666398291,100282666375000
316,100282666610166,100282666586625
317,100282666818916,100282666796208
318,100282667032458,100282667009625
319,100282667245583,100282667224375
320,100282667457500,100282667435250
321,100282667672791,100282667649625
322,100282667900250,100282667865541
323,100282668098541,100282668071791
324,100282668314083,100282668279833
325,100282668519625,100282668480875
326,100282668725875,100282668682666
327,100282668927208,100282668895083
328,100282669127541,100282669103750
329,100282669330458,100282669307041
330,100282669537833,100282669515000
331,100282669739791,100282669716291
332,100282669944041,100282669921583
333,100282670163666,100282670122541
334,100282670356750,100282670328625
335,100282670553833,100282670530541
336,100282670755416,100282670733666
337,100282670982083,100282670936333
338,100282671161625,100282671138458
339,100282671373083,100282671348291
340,100282671593791,100282671553291
341,100282671791583,100282671755958
342,100282671991083,100282671959166
343,100282672196625,100282672170916
344,100282672420416,100282672384916
345,100282672619166,100282672585583
346,100282672821541,100282672794958
