seq,send_ts_ns,ack_recv_ts_ns,retransmits
199,100118507603000,100118507669916,0
200,100118507816166,100118507926416,0
201,100118508017041,100118508214708,0
202,100118508236208,100118508368750,0
203,100118508436750,100118508543875,0
204,100118508639583,100118508706708,0
205,100118508853291,100118508988125,0
206,100118509060333,100118509140333,0
207,100118509261625,100118509415541,0
208,100118509470958,100118509548416,0
209,100118509681666,100118509788666,0
210,100118509884500,100118510039791,0
211,100118510098958,100118510196625,0
212,100118510311583,100118510498375,0
213,100118510513958,100118510631083,0
214,100118510729625,100118510892916,0
215,100118510941250,100118511035500,0
216,100118511143000,100118511316083,0
217,100118511345916,100118511456875,0
218,100118511547000,100118511727041,0
219,100118511750625,100118511912083,0
220,100118511963125,100118512055208,0
221,100118512165583,100118512335708,0
222,100118512377708,100118512454958,0
223,100118512579625,100118512725750,0
224,100118512781750,100118512866041,0
225,100118512996333,100118513139708,0
226,100118513212208,100118513280291,0
227,100118513412333,100118513519166,0
228,100118513628208,100118513770416,0
229,100118513838916,100118514033708,0
230,100118514045000,100118514162083,0
231,100118514260250,100118514433958,0
232,100118514463208,100118514575541,0
233,100118514667500,100118514876458,0
234,100118514889333,100118515031833,0
235,100118515096583,100118515198625,0
236,100118515310541,100118515486000,0
237,100118515535208,100118515658416,0
238,100118515749666,100118515935166,0
239,100118515957666,100118516078791,0
240,100118516211291,100118516369208,0
241,100118516435583,100118516517708,0
242,100118516644541,100118516808208,0
243,100118516847750,100118516955833,0
244,100118517062041,100118517238791,0
245,100118517284166,100118517478666,0
246,100118517490875,100118517611333,0
247,100118517714625,100118517894916,0
248,100118517917000,100118518050708,0
249,100118518132166,100118518211416,0
250,100118518334291,100118518522041,0
251,100118518556875,100118518675500,0
252,100118518768750,100118518851833,0
253,100118518971958,100118519159583,0
254,100118519180791,100118519300333,0
255,100118519383500,100118519568208,0
256,100118519610958,100118519687333,0
257,100118519813208,100118519969750,0
258,100118520021000,100118520128041,0
259,100118520231458,100118520436083,0
260,100118520457375,100118520579083,0
261,100118520681833,100118520845958,0
262,100118520894083,100118520972833,0
263,100118521109708,100118521234625,0
264,100118521330916,100118521403625,0
265,100118521544250,100118521653666,0
266,100118521756333,100118521813791,0
267,100118521970958,100118522094916,0
268,100118522181333,100118522389625,0
269,100118522399875,100118522515333,0
270,100118522604791,100118522661250,0
271,100118522812750,100118522913291,0
272,100118523025750,100118523192541,0
273,100118523234833,100118523334958,0
274,100118523444291,100118523610125,0
275,100118523804958,100118523940833,0
276,100118524046583,100118524216541,0
277,100118524266041,100118524376500,0
278,100118524476625,100118524651458,0
279,100118524692583,100118524811750,0
280,100118524902791,100118525008208,0
281,100118525118500,100118525295541,0
282,100118525337583,100118525421958,0
283,100118525554250,100118525726708,0
284,100118525756875,100118525870541,0
285,100118525970291,100118526148958,0
286,100118526179583,100118526294250,0
287,100118526384958,100118526570125,0
288,100118526586458,100118526715291,0
289,100118526803958,100118526989916,0
290,100118527021000,100118527119541,0
291,100118527236500,100118527377750,0
292,100118527439666,100118527634958,0
293,100118527644708,100118527777875,0
294,100118527860958,100118528057208,0
295,100118528080583,100118528197125,0
296,100118528283583,100118528458416,0
297,100118528486375,100118528600333,0
298,100118528699500,100118528873458,0
299,100118528903791,100118529033583,0
300,100118529117250,100118529304458,0
301,100118529318958,100118529426791,0
302,100118529531791,100118529681333,0
303,100118529732333,100118529823458,0
304,100118529944958,100118530102958,0
305,100118530150916,100118530244083,0
306,100118530357000,100118530523708,0
307,100118530568166,100118530643458,0
308,100118530783625,100118530919875,0
309,100118530985041,100118531165541,0
310,100118531193000,100118531312750,0
311,100118531409000,100118531589041,0
312,100118531627916,100118531732041,0
313,100118531839500,100118532011500,0
314,100118532041958,100118532136416,0
315,100118532253541,100118532394791,0
316,100118532462208,100118532536333,0
317,100118532673000,100118532812125,0
318,100118532887500,100118533070916,0
319,100118533100666,100118533197125,0
320,100118533313750,100118533428166,0
321,100118533514250,100118533688500,0
322,100118533719458,100118533832125,0
323,100118533928916,100118534107291,0
324,100118534139833,100118534237666,0
325,100118534342375,100118534511250,0
326,100118534558500,100118534652416,0
327,100118534764875,100118534840041,0
328,100118534978916,100118535113083,0
329,100118535189291,100118535255916,0
330,100118535392416,100118535519458,0
331,100118535606458,100118535794916,0
332,100118535806625,100118535919416,0
333,100118536008750,100118536058625,0
334,100118536214375,100118536322041,0
335,100118536421916,100118536601875,0
336,100118536639875,100118536745000,0
337,100118536854291,100118537000375,0
338,100118537067583,100118537139916,0
339,100118537278375,100118537396166,0
340,100118537484458,100118537536875,0
341,100118537693166,100118537814583,0
342,100118537898250,100118538074166,0
343,100118538116958,100118538217208,0
344,100118538319583,100118538497041,0
345,100118538528375,100118538638458,0
346,100118538729000,100118538912666,0
347,100118538949125,100118539055750,0
348,100118539151750,100118539327250,0
349,100118539359833,100118539473000,0
350,100118539577041,100118539751375,0
351,100118539787333,100118539896000,0
352,100118539994250,100118540171458,0
353,100118540203083,100118540299750,0
354,100118540418500,100118540576708,0
355,100118540626791,100118540718166,0
356,100118540839958,100118540992666,0
357,100118541044291,100118541123541,0
358,100118541261083,100118541399000,0
359,100118541462333,100118541657875,0
360,100118541667833,100118541776333,0
361,100118541874250,100118542048750,0
362,100118542085875,100118542168791,0
363,100118542286250,100118542446875,0
364,100118542494791,100118542587125,0
365,100118542696958,100118542865125,0
366,100118542914458,100118542994166,0
367,100118543128916,100118543248375,0
368,100118543330291,100118543526791,0
369,100118543543541,100118543655041,0
370,100118543745166,100118543798541,0
371,100118543953250,100118544073625,0
372,100118544168208,100118544347375,0
373,100118544375916,100118544470958,0
374,100118544590291,100118544745083,0
375,100118544808041,100118544884708,0
376,100118545022333,100118545173250,0
377,100118545226041,100118545314083,0
378,100118545442750,100118545605416,0
379,100118545655208,100118545762625,0
380,100118545896000,100118546042375,0
381,100118546103125,100118546186083,0
382,100118546331583,100118546477000,0
383,100118546534625,100118546620666,0
384,100118546735458,100118546897791,0
385,100118546944458,100118547042166,0
386,100118547147291,100118547303541,0
387,100118547351166,100118547444625,0
388,100118547555041,100118547719583,0
389,100118547767208,100118547880208,0
390,100118547976791,100118548024250,0
391,100118548189166,100118548312875,0
392,100118548402958,100118548456458,0
393,100118548614958,100118548718875,0
394,100118548818000,100118548991791,0
395,100118549019250,100118549142333,0
396,100118549239208,100118549285583,0
397,100118549464041,100118549571458,0
398,100118549684666,100118549874125,0
399,100118549886750,100118549998958,0
400,100118550096041,100118550271666,0
401,100118550299708,100118550413541,0
402,100118550505125,100118550555791,0
403,100118550708000,100118550810625,0
404,100118550914375,100118551088791,0
405,100118551120416,100118551232958,0
406,100118551333583,100118551500833,0
407,100118551534375,100118551643208,0
408,100118551738291,100118551917708,0
409,100118551953375,100118552050291,0
410,100118552160250,100118552334125,0
411,100118552366083,100118552475500,0
412,100118552571583,100118552623750,0
413,100118552777333,100118552895583,0
414,100118552983333,100118553044166,0
415,100118553187625,100118553319291,0
416,100118553395375,100118553462291,0
417,100118553605500,100118553724958,0
